subject,subject_slug,school_id,unit,lesson_number,lesson_title,lesson_id,question_index,pastPaper,question_type,question_text
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Reading: Non-Fiction Analysis,2,Inference and Summary Skills,12a26de3-583b-43da-96dc-d387c4950582,0,AQA 2026 Sample,8 marks — Inference and Summary,"You need to refer to Source A and Source B for this question.

The writers in Source A and Source B are travelling on different types of trains.

What"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Reading: Non-Fiction Analysis,2,Inference and Summary Skills,12a26de3-583b-43da-96dc-d387c4950582,5,AQA 2026 Sample,4 marks — True Statements,"Read again lines 1 to 7 of Source A.

Choose four statements below which are true.

A: The writer is at the start of his train journey.
B: The writer "
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Reading: Non-Fiction Analysis,4,Language Analysis in Non-Fiction,5409d359-f570-4882-bc4b-262809510d1e,0,AQA 2026 Sample,12 marks — Explain,"You now need to refer only to Source A from lines 12 to 23.

How does the writer use language to describe the train crash?

[12 marks]"
English Language,english-language,,Paper 1: Reading,3,Language Analysis: Sentence Forms,040cec85-21cc-43fd-902d-51ec119282dd,0,AQA 2026 Sample,12 marks — Explain,"You now need to refer only to Source A from lines 12 to 23.

How does the writer use language to describe the train crash?

[12 marks]"
English Language,english-language,,Paper 1: Reading,3,Language Analysis: Sentence Forms,040cec85-21cc-43fd-902d-51ec119282dd,1,AQA 2026 Sample,8 marks — Explain,"Look in detail at this extract, from lines 10 to 19 of the source:

How does the writer use language here to describe the hyena's appearance?

You cou"
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,"America, 1920–1973",14,The Feminist Movement,ec689d4c-b9dc-4de1-983c-2869b79a645c,0,AQA November 2021,4 marks — Describe two,Describe two problems tackled by feminist movements in the USA in the 1960s and early 1970s.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,"America, 1920–1973",14,The Feminist Movement,ec689d4c-b9dc-4de1-983c-2869b79a645c,2,AQA June 2022,8 marks — In what ways,In what ways were the lives of American people affected by feminist movements in the 1960s and early 1970s? Explain your answer.
Sport Science,sport-science,a5414d1c-8841-4bc5-8573-a9756752361b,R180: Reducing the Risk of Sports Injuries,6,Chronic Sports Injuries,2f8f11a0-bf1a-49f7-b731-45e5e14e4dd9,3,OCR June 2025,4 marks — Explain,Explain how overuse can lead to chronic injuries in sport. Use sporting examples.
Sport Science,sport-science,a5414d1c-8841-4bc5-8573-a9756752361b,R180: Reducing the Risk of Sports Injuries,6,Chronic Sports Injuries,2f8f11a0-bf1a-49f7-b731-45e5e14e4dd9,5,OCR January 2024,8 marks — Discuss*,Explain the difference between acute and chronic injuries. In your answer you should include examples of each type and how specific injuries might be 
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Reading: Non-Fiction Analysis,8,Paper 2 Reading Practice — Full Section A,9a19e0d0-b314-41ed-8787-2a2e52b791c4,0,AQA 2026 Sample Assessment,4 marks — True Statements,"Read again the first part of Source A from lines 1 to 7. Choose four statements below which are true.

A: The writer is at the start of his train jour"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Reading: Non-Fiction Analysis,8,Paper 2 Reading Practice — Full Section A,9a19e0d0-b314-41ed-8787-2a2e52b791c4,1,AQA 2026 Sample Assessment,8 marks — Synthesis,You need to refer to Source A and Source B for this question. The writers in Source A and Source B are travelling on different types of trains. What c
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Reading: Non-Fiction Analysis,8,Paper 2 Reading Practice — Full Section A,9a19e0d0-b314-41ed-8787-2a2e52b791c4,2,AQA 2026 Sample Assessment,12 marks — Language Analysis,You now need to refer only to Source A from lines 12 to 23. How does the writer use language to describe the train crash?
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Reading: Non-Fiction Analysis,8,Paper 2 Reading Practice — Full Section A,9a19e0d0-b314-41ed-8787-2a2e52b791c4,3,AQA 2026 Sample Assessment,16 marks — Comparison,"For this question, you need to refer to the whole of Source A, together with the whole of Source B. Compare how the writers convey their different fee"
Creative iMedia,creative-imedia,a5414d1c-8841-4bc5-8573-a9756752361b,Distribution and Media,2,Image File Properties and Compression,875016ce-d672-4604-8899-035263431f91,3,OCR Sample,4 marks — Explain,Some images maintain exactly the same quality regardless of how much the image size is increased. What type of images are these? Explain your answer.
Spanish,spanish,a5414d1c-8841-4bc5-8573-a9756752361b,People and Lifestyle,5,"Food, Drink and Mealtimes",00a92e55-d92a-497b-8e7e-6dfa06e73bc9,1,AQA Foundation Writing,10 marks — Translation into Spanish,"Translate into Spanish:
'I do not like to listen to music. I never follow celebrities on social media. My teacher gives me a lot of homework. Yesterda"
Spanish,spanish,a5414d1c-8841-4bc5-8573-a9756752361b,People and Lifestyle,5,"Food, Drink and Mealtimes",00a92e55-d92a-497b-8e7e-6dfa06e73bc9,2,AQA Foundation Writing,10 marks — Short Writing Task,"Write approximately 50 words in Spanish about what you normally eat and drink. You must write something about each bullet point. Mention:
• what you e"
Spanish,spanish,a5414d1c-8841-4bc5-8573-a9756752361b,People and Lifestyle,5,"Food, Drink and Mealtimes",00a92e55-d92a-497b-8e7e-6dfa06e73bc9,3,AQA Practice Material,4 marks — Reading Comprehension,"Read the menu and Diana's comments. Decide what she will choose for each course.
Menu: Entradas: Gazpacho, Judías verdes con jamón, Sopa de cebolla, E"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),4,"Costume, Hair & Make-up",c4f4adde-6749-4268-a896-998dd9a67003,3,OCR November 2021,6 marks — Costume Design,Select the character Mr Lyons from Blood Brothers. Describe briefly three suitable items of costume for this character. Give a reason for using each i
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),4,"Costume, Hair & Make-up",c4f4adde-6749-4268-a896-998dd9a67003,4,OCR June 2022,4 marks — Costume Design,"Using the character Mrs Johnstone from Blood Brothers, suggest two appropriate items of costume for this character. Explain why each item of costume i"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),4,"Costume, Hair & Make-up",c4f4adde-6749-4268-a896-998dd9a67003,5,OCR June 2023,6 marks — Costume Design,You are the costume designer for Blood Brothers. Choose one character from the performance text. Identify three items of costume this character could 
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Writing: Transactional Writing,3,Structuring an Argument,f3ad5f03-ac52-42c2-a3cc-1df3523b44de,0,AQA 2026 Sample,40 marks — Transactional Writing,"'Cars are convenient, comfortable and save time. However, we need to use them less by making public transport such as trains, trams and buses cheaper,"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Writing: Transactional Writing,4,Writing Letters and Articles,4df82069-4567-4dd6-bd78-505eb55e38ac,0,AQA 2026 Sample Paper,12 marks + 4 SPaG — Extended Writing,"'Cars are convenient, comfortable and save time. However, we need to use them less by making public transport such as trains, trams and buses cheaper,"
Business Studies,business,a5414d1c-8841-4bc5-8573-a9756752361b,Theme 1: Investigating Small Business,11,Interest and Cash Flow,eb36275d-c207-408e-9581-9f813dee4c59,2,Edexcel Sample,3 marks — Explain,"Joneffry is a new start-up business offering gardening services. Jon needs to borrow £2,400 to buy equipment. He has been offered a loan with monthly "
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),5,Set Design & Staging Types,07b749c0-dcb5-4a99-bf42-2de802c5133f,3,OCR November 2021,6 marks — Staging Type,Choose a staging style you could use to perform Blood Brothers. Explain three advantages and/or disadvantages of staging the performance in this way.
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),5,Set Design & Staging Types,07b749c0-dcb5-4a99-bf42-2de802c5133f,4,OCR June 2022,6 marks — Staging Type,You are performing Blood Brothers on a thrust stage. Explain three advantages and/or disadvantages of performing on this style of stage. Give examples
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),5,Set Design & Staging Types,07b749c0-dcb5-4a99-bf42-2de802c5133f,5,OCR June 2023,6 marks — Staging Type,Describe how a set design could be used to communicate a setting (place and time) for one key moment in Blood Brothers.
Geography,geography,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1: Physical Geography,5,Global Atmospheric Circulation & Tropical Storms,b4416885-b714-4f5e-82b7-7b5211de9025,3,AQA Sample Paper 1,4 marks — Describe,Describe the distribution of tropical storms around the world.
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),3,Themes & Context,c0ce1fd6-d6b3-4cd6-a0bc-d1be4ca1e733,3,OCR November 2021,8 marks — Extended Explanation,"Explain how a set designer could show historical and/or cultural context at one key moment in Blood Brothers. As part of your answer, roughly sketch a"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),3,Themes & Context,c0ce1fd6-d6b3-4cd6-a0bc-d1be4ca1e733,4,OCR June 2025,4 marks — Sound Design,"As a sound designer, explain three sound effects you would use to show the social, historical or cultural context of Blood Brothers. Give examples fro"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),3,Themes & Context,c0ce1fd6-d6b3-4cd6-a0bc-d1be4ca1e733,5,OCR June 2024,8 marks — Extended Explanation,"As a director, identify the mood you want to communicate for one key moment in Blood Brothers. You must not use the closing scene/section. Explain how"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),7,Performance Skills & Semiotics,f9bd89cc-6f2a-4fd9-804d-239035e06d7b,3,OCR November 2021,4 marks — Voice Skills,Select the character Mrs Johnstone from Blood Brothers. Describe two ways an actor playing this role could use voice effectively to perform the line: 
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),7,Performance Skills & Semiotics,f9bd89cc-6f2a-4fd9-804d-239035e06d7b,4,OCR June 2022,4 marks — Physicality/Movement,Select the character Mrs Johnstone from Blood Brothers. Identify two physical movements the character could use when saying the line: 'Tell me it’s no
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),7,Performance Skills & Semiotics,f9bd89cc-6f2a-4fd9-804d-239035e06d7b,5,OCR June 2023,4 marks — Physicality/Movement,"Choose the character Mickey from Blood Brothers and the line: 'How old are y’, Eddie?' Identify one facial expression and one movement the actor would"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),8,Key Scenes & Directing,86594bf9-c8d0-490a-82a7-823be3416875,3,OCR November 2021,8 marks — Extended Explanation,"Semiotics are used to provide visual clues to the audience. As a director, justify how you would use semiotics for the opening scene/section of Blood "
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),8,Key Scenes & Directing,86594bf9-c8d0-490a-82a7-823be3416875,4,OCR June 2022,8 marks — Extended Explanation,"Semiotics are used to provide visual clues to the audience. As a director, justify how you would use semiotics for one key moment of Blood Brothers."
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),8,Key Scenes & Directing,86594bf9-c8d0-490a-82a7-823be3416875,5,OCR June 2024,8 marks — Extended Explanation,"As a director, identify the mood you want to communicate for one key moment in Blood Brothers. You must not use the closing scene/section. Explain how"
Science,science,a5414d1c-8841-4bc5-8573-a9756752361b,Biology Paper 2,4,"Reproduction, Meiosis and DNA",bcc91709-ae24-4f46-b406-684f45aa11bb,2,AQA Sample Paper,2 marks — Calculate,The body cells of a kangaroo have 16 chromosomes. How many chromosomes will an egg cell of a kangaroo have?
English Language,english-language,,Paper 1: Reading,6,Evaluating Texts Critically,826f70e2-88a3-4c45-ad0b-9267920d289c,0,AQA 2026 Sample,Evaluate (9),"For this question focus on the second part of the source, from line 20 to the end.

In this part of the source, the hyena could be seen as funny or th"
English Language,english-language,,Paper 1: Reading,6,Evaluating Texts Critically,826f70e2-88a3-4c45-ad0b-9267920d289c,2,AQA 2026 Sample,Define (1 mark),"Read again the first part of the source, from lines 1 to 9.

Answer all parts of this question.

Tick one box for each question.

a) What worries Pi a"
English Language,english-language,,Paper 1: Reading,6,Evaluating Texts Critically,826f70e2-88a3-4c45-ad0b-9267920d289c,3,AQA 2026 Sample,Describe (2),"Look in detail at this extract, from lines 10 to 19 of the source.

How does the writer use language here to describe the hyena's appearance?

You cou"
English Language,english-language,,Paper 1: Reading,6,Evaluating Texts Critically,826f70e2-88a3-4c45-ad0b-9267920d289c,5,AQA 2026 Sample,Explain (6),"You now need to think about the structure of the source as a whole.

The text is from the middle of a novel.

How has the writer structured the text t"
Business Studies,business,a5414d1c-8841-4bc5-8573-a9756752361b,Theme 2: Building a Business,7,Promotion,258ee2c9-f12a-4440-87cd-e5986f6d5ed4,1,Edexcel Sample,2 marks — Outline,Outline one benefit to KFC of using viral advertising.
Business Studies,business,a5414d1c-8841-4bc5-8573-a9756752361b,Theme 2: Building a Business,7,Promotion,258ee2c9-f12a-4440-87cd-e5986f6d5ed4,2,Edexcel Sample,3 marks — Explain,Explain one benefit to a business of promoting its product using social media.
Business Studies,business,a5414d1c-8841-4bc5-8573-a9756752361b,Theme 2: Building a Business,7,Promotion,258ee2c9-f12a-4440-87cd-e5986f6d5ed4,4,Edexcel Sample,6 marks — Discuss,Analyse the impact on KFC of using special offers to attract customers.
Science,science,a5414d1c-8841-4bc5-8573-a9756752361b,Physics Paper 1,7,"Internal Energy, Specific Heat Capacity and Latent Heat",dfc0189c-c02a-486b-a1a4-4136dd2d14e5,5,AQA Required Practical,6 marks — Extended Response,A student uses an electrical heater to determine the specific heat capacity of water. The heater has a power of 50 W and is switched on for 300 second
Geography,geography,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1: Physical Geography,8,"Climate Change: Causes, Effects & Responses",4bfec694-0c42-4304-90f3-be5e3769040f,3,AQA June 2019,4 marks — Describe,Describe two ways that humans contribute to climate change.
Business Studies,business,a5414d1c-8841-4bc5-8573-a9756752361b,Theme 2: Building a Business,9,Using the Marketing Mix,27dbbceb-12af-4693-a986-033bd6036835,4,Edexcel Sample,6 marks — Discuss,Discuss the benefit to a business of having an integrated marketing mix.
Geography,geography,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1: Physical Geography,2,Plate Boundaries & Living Near Hazards,ee3d152d-8532-4c84-82d3-8c4f70b70822,3,AQA Sample Paper 1,4 marks — Describe,Describe what happens at a conservative plate boundary. Use a named example in your answer.
Geography,geography,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1: Physical Geography,6,Typhoon Haiyan & Managing Tropical Storms,99331c2d-dadc-4698-8803-bed99b690c1c,3,AQA June 2018,4 marks — Describe,Describe the primary effects of Typhoon Haiyan on the Philippines.
Creative iMedia,creative-imedia,a5414d1c-8841-4bc5-8573-a9756752361b,Distribution and Media,1,Distribution Platforms,c5885e1c-fe3f-4b25-a346-7f69e39ae0dc,3,OCR Sample,4 marks — Explain,Explain one advantage for the audience of using an online platform rather than physical media to access a video.
English Language,english-language,,Paper 1: Reading,7,Comparing Writers' Methods,c5e00709-7339-4b3c-b02f-cab7e14a8a2c,0,AQA 8700/1 2026 SAMs,20 marks — Evaluate,"For this question focus on the second part of the source, from line 20 to the end.

In this part of the source, the hyena could be seen as funny or th"
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Conflict & Tension,8,The Manchurian Crisis,33690931-ab5e-4e9d-b758-9f5a8cd87d23,0,AQA Sample Set 1,8 marks — Write an account,Write an account of how events in Manchuria became an international crisis in the years 1931 to 1933.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Conflict & Tension,9,The Abyssinian Crisis,63b8c245-0f07-43e8-9739-c2ba1351b9f4,0,AQA November 2020,8 marks — Write an account,Write an account of how events in Abyssinia in 1935–36 affected the League of Nations.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,3,Medieval Surgery & Hospitals,7a22d839-2af0-466b-bc03-b2e25118187b,1,AQA November 2020,8 marks — Explain two similarities,Explain two ways in which medieval hospitals and hospitals in the 18th century were similar.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,3,Medieval Surgery & Hospitals,7a22d839-2af0-466b-bc03-b2e25118187b,2,AQA Sample Set 2,8 marks — Explain two similarities,Explain two ways in which surgery in the Middle Ages and surgery at the time of John Hunter were similar.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,5,"Vesalius, Paré & Harvey",62a5162a-fff2-4e99-abb5-44eda22e222f,0,AQA June 2024,8 marks — Explain the significance,Explain the significance of the Renaissance for medicine in Britain.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,5,"Vesalius, Paré & Harvey",62a5162a-fff2-4e99-abb5-44eda22e222f,2,AQA June 2022,8 marks — Explain two similarities,Explain two ways in which the work of Paré and Lister was similar.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,7,Jenner & the Smallpox Vaccine,17f64e38-61b4-4918-b260-2e856c75d3da,0,AQA November 2021,8 marks — Explain the significance,Explain the significance of the work of Edward Jenner.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,7,Jenner & the Smallpox Vaccine,17f64e38-61b4-4918-b260-2e856c75d3da,1,AQA June 2023,8 marks — Explain two similarities,Explain two ways in which the work of Edward Jenner and Robert Koch was similar.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,6,Continuity & Change in Medicine,83907428-ad5c-4c69-a447-a1d4d307cd72,0,AQA June 2024,8 marks — Explain the significance,Explain the significance of the Renaissance for medicine in Britain.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,8,The Germ Theory: Pasteur and Koch,595bb7a7-4207-4ccf-adf8-887e93da0ec2,3,AQA Sample Set 2,16 marks (+4 SPaG) — Has science and technology been the main factor?,Has science and technology been the main factor in understanding the causes of disease in Britain? Explain your answer with reference to science and t
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,10,Public Health: Industrial Britain,b4b9d673-c09e-49d9-8a33-8b797a37fd81,1,AQA November 2021,8 marks — Explain two similarities,Explain two ways in which medieval public health and 19th century public health were similar.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,10,Public Health: Industrial Britain,b4b9d673-c09e-49d9-8a33-8b797a37fd81,3,AQA June 2022,16 marks (+4 SPaG) — Has the role of the individual been the main factor?,Has the role of the individual been the main factor in the development of public health in Britain? Explain your answer with reference to the role of 
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,9,Anaesthetics & Antiseptics,15009f37-fe1a-43cb-8cf5-80263160a9b3,0,AQA Sample Set 1,8 marks — Explain the significance,Explain the significance of anaesthetics in the development of medicine.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,9,Anaesthetics & Antiseptics,15009f37-fe1a-43cb-8cf5-80263160a9b3,1,AQA June 2022,8 marks — Explain two similarities,Explain two ways in which the work of Paré and Lister was similar.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,11,Magic Bullets & Penicillin,27b89bc1-ba71-4b7c-95ad-9915d53acd96,0,AQA Sample Set 2,8 marks — Explain the significance,Explain the significance of penicillin in the development of medicine.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,11,Magic Bullets & Penicillin,27b89bc1-ba71-4b7c-95ad-9915d53acd96,3,AQA November 2020,16 marks (+4 SPaG) — Has science and technology been the main factor?,Has science and technology been the main factor in improving the treatment of disease? Explain your answer with reference to science and technology an
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,1,The Four Humours & Supernatural,7da991f0-2846-4130-9a85-7ab117724d6a,0,AQA June 2023,8 marks — Explain the significance,Explain the significance of the treatments used by medieval doctors.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,1,The Four Humours & Supernatural,7da991f0-2846-4130-9a85-7ab117724d6a,3,AQA Sample Set 1,16 marks (+4 SPaG) — Has religion been the main factor?,Has religion been the main factor in the development of medicine in Britain since Medieval times? Explain your answer with reference to religion and o
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,2,Medieval Treatments & the Church,0dd19fb1-3387-41d0-9638-2546ae7a9698,0,AQA June 2022,8 marks — Explain the significance,Explain the significance of Christianity in the history of medicine.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,Health & the People,14,"War, Technology & Modern Surgery",a94b0953-eb9a-45c7-be94-856acdc6281e,3,AQA November 2021,16 marks (+4 SPaG) — Has war been the main factor?,Has war been the main factor in the development of surgery and anatomy? Explain your answer with reference to war and other factors. Use a range of ex
Geography,geography,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1: Physical Geography,7,UK Weather Hazards: Cumbria Floods,3969e7cb-1b08-4c1a-9759-287b8d0a6862,3,AQA Sample Paper 1,4 marks — Describe,Describe the social and economic effects of the 2009 Cockermouth flood.
Sport Science,sport-science,a5414d1c-8841-4bc5-8573-a9756752361b,R180: Reducing the Risk of Sports Injuries,3,Warm Up Routines,db5b429c-dd7c-4bdf-8dac-fd9d591b2aea,3,OCR June 2024,4 marks — Explain,Explain why a warm up can help reduce the risk of injury.
