subject,unit,lesson_number,lesson_id,title,hero_url,source_type,license,license_risk,artist,art_status,description,credit,caption_final,written_to_db
history-ocr,international-relations-1918-1975,12,c8efd441-1c34-45e8-a8a8-fec28a4d4c44,End of the war and its international legacy,https://images.unsplash.com/photo-1705733070505-e54e61ad0187,unsplash,,,,line-and-wash,A helicopter's cockpit and nose with the number 086 visible,Illustration after a photo via Unsplash,A helicopter's cockpit and nose with the number 086 visible (Illustration after a photo via Unsplash),N
history-ocr,migration-to-britain-1000-2010,1,6b3b3371-8bed-46f9-97c4-fe06056ce80c,England before 1066 and the Norman impact on migration,https://upload.wikimedia.org/wikipedia/commons/f/fa/Bayeux_Tapestry_32-33_comet_Halley_Harold.jpg,wikimedia,Public domain,FREE,Myrabella,line-and-wash,"A crowned king with a raised sword, people pointing at a comet",Illustration after a photo by Myrabella · public domain · Wikimedia Commons,"A crowned king with a raised sword, people pointing at a comet (Illustration after a photo by Myrabella · public domain · Wikimedia Commons)",N
history-ocr,migration-to-britain-1000-2010,2,cd1d6477-ce69-4b82-af1b-ee243ba2c25e,Jews in medieval England 1066-1290,https://upload.wikimedia.org/wikipedia/commons/e/ee/York_Castle_Clifford%27s_Tower_2007.jpg,wikimedia,Public domain,FREE,Steven Fruitsmaak,line-and-wash,A round stone castle stands on top of a large mound,Illustration after a photo by Steven Fruitsmaak · public domain · Wikimedia Commons,A round stone castle stands on top of a large mound (Illustration after a photo by Steven Fruitsmaak · public domain · Wikimedia Commons),N
history-ocr,migration-to-britain-1000-2010,3,f2ea708f-4d1d-4258-ad37-aeb6af35040f,"Africans, Asians and other migrants in early modern England",https://upload.wikimedia.org/wikipedia/commons/4/4a/Black_Trumpeter_at_Henry_VIII%27s_Tournament.jpg,generated,,generated,,generated (original),"A carved chest, blue and white vase, and a clasped book sit on a wooden table",StudyVault illustration,"A carved chest, blue and white vase, and a clasped book sit on a wooden table (StudyVault illustration)",N
history-ocr,migration-to-britain-1000-2010,4,27218ca0-5865-43e4-b3e6-110ecf5bf5e3,Jewish readmission and Huguenot refugees,https://upload.wikimedia.org/wikipedia/commons/e/e2/Woman%27s_Spitalfields_silk_damask_shoes_with_buckles_1740s.jpg,wikimedia,Public domain,FREE,Unknown author,line-and-wash,A pair of green 18th-century style buckle shoes,Illustration after a photo by Unknown author · public domain · Wikimedia Commons,A pair of green 18th-century style buckle shoes (Illustration after a photo by Unknown author · public domain · Wikimedia Commons),N
history-ocr,migration-to-britain-1000-2010,5,175edec7-aac0-4308-bf82-3faf5b527dea,Atlantic slavery and British ports,https://upload.wikimedia.org/wikipedia/commons/d/db/Sculpture_of_Olaudah_Equiano%2C_the_Queen%27s_House%2C_Greenwich.jpg,wikimedia,CC BY-SA 4.0,SHARE-ALIKE,JRennocks,line-and-wash,A bust of a Black person looking at framed portraits of white men,Illustration after a photo by JRennocks · CC BY-SA 4.0 · Wikimedia Commons,A bust of a Black person looking at framed portraits of white men (Illustration after a photo by JRennocks · CC BY-SA 4.0 · Wikimedia Commons),N
history-ocr,migration-to-britain-1000-2010,6,6608cbfb-7523-4bd1-8ae4-3912df469320,"Industrial Britain: Irish, Scottish and Eastern European migrants",https://upload.wikimedia.org/wikipedia/commons/b/be/Strype%2C_map_of_Whitechapel%2C_1720.jpg,wikimedia,Public domain,FREE,John Strype,line-and-wash,"A historical map shows urban buildings, fields, and a marked area of wavy ground",Illustration after a photo by John Strype · public domain · Wikimedia Commons,"A historical map shows urban buildings, fields, and a marked area of wavy ground (Illustration after a photo by John Strype · public domain · Wikimedia Commons)",N
history-ocr,migration-to-britain-1000-2010,7,63dbac23-6c82-4757-91b5-3b028ddff08f,Two world wars and inter-war migration,https://upload.wikimedia.org/wikipedia/commons/d/d1/Bundesarchiv_Bild_183-S69279%2C_London%2C_Ankunft_j%C3%BCdische_Fl%C3%BCchtlinge.jpg,wikimedia,CC BY-SA 3.0 de,SHARE-ALIKE,Unknown,line-and-wash,People disembarking a ship using a gangplank,Illustration after a photo by Unknown · CC BY-SA 3.0 de · Wikimedia Commons,People disembarking a ship using a gangplank (Illustration after a photo by Unknown · CC BY-SA 3.0 de · Wikimedia Commons),N
history-ocr,migration-to-britain-1000-2010,8,7306e565-f110-4f77-9576-d0787606122b,Commonwealth migration after 1945,https://upload.wikimedia.org/wikipedia/commons/5/58/Passenger_list_header_M.V._%22Empire_Windrush%22%2C_Tilbury_June_1948.jpg,wikimedia,CC BY-SA 4.0,SHARE-ALIKE,Tek monde,line-and-wash,An old ship's passenger list with a London immigration office stamp,Illustration after a photo by Tek monde · CC BY-SA 4.0 · Wikimedia Commons,An old ship's passenger list with a London immigration office stamp (Illustration after a photo by Tek monde · CC BY-SA 4.0 · Wikimedia Commons),N
history-ocr,migration-to-britain-1000-2010,9,7217db29-d482-431a-a799-29390a15278c,Multicultural Britain 1981-2010,https://upload.wikimedia.org/wikipedia/commons/f/f1/Floral_Tributes_to_Stephen_Lawrence_in_Eltham_in_2023_%2803%29.jpg,wikimedia,CC BY-SA 4.0,SHARE-ALIKE,Doyle of London,line-and-wash,"A memorial stone for Stephen Lawrence with flowers, candles, and a wooden cross",Illustration after a photo by Doyle of London · CC BY-SA 4.0 · Wikimedia Commons,"A memorial stone for Stephen Lawrence with flowers, candles, and a wooden cross (Illustration after a photo by Doyle of London · CC BY-SA 4.0 · Wikimedia Commons)",N
history-ocr,migration-to-britain-1000-2010,10,479b8ed4-4e4d-43ff-aaab-d126bf20a9eb,Ideas of Englishness and Britishness over time,https://upload.wikimedia.org/wikipedia/commons/2/21/Scottish_Parliament_Debating_Chamber_1.jpg,wikimedia,CC BY-SA 4.0,SHARE-ALIKE,Colin,line-and-wash,The debating chamber of the Scottish Parliament,Illustration after a photo by Colin · CC BY-SA 4.0 · Wikimedia Commons,The debating chamber of the Scottish Parliament (Illustration after a photo by Colin · CC BY-SA 4.0 · Wikimedia Commons),N
history-ocr,usa-people-state-1919-1948,1,073515fe-22b0-41e7-90eb-c2c7bc3f0a36,The Roaring Twenties and Republican prosperity,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/america/lesson-01-hero.jpg,r2,,,,line-and-wash,Workers assemble components on a factory assembly line,Illustration after a photo via Unsplash,Workers assemble components on a factory assembly line (Illustration after a photo via Unsplash),N
history-ocr,usa-people-state-1919-1948,2,a85c1cc3-ff1d-436f-9833-68dc0f7ebd3f,"Women, the Sheppard-Towner Act and the 19th Amendment",https://upload.wikimedia.org/wikipedia/commons/b/bb/Women_practice_voting_in_Dayton_Oct._27%2C_1920.jpg,wikimedia,Public domain,FREE,Unknown author,line-and-wash,Women and men are voting at a polling place,Illustration after a photo by Unknown author · public domain · Wikimedia Commons,Women and men are voting at a polling place (Illustration after a photo by Unknown author · public domain · Wikimedia Commons),N
history-ocr,usa-people-state-1919-1948,3,f8442667-a855-45db-b9e3-31958e5f9619,"Prohibition: causes, enforcement and failure",https://upload.wikimedia.org/wikipedia/commons/b/b5/Labor_unions_hold_anti-prohibition_meeting.jpg,wikimedia,Public domain,FREE,Unknown author,line-and-wash,"A crowd of people march, many carrying blank placards",Illustration after a photo by Unknown author · public domain · Wikimedia Commons,"A crowd of people march, many carrying blank placards (Illustration after a photo by Unknown author · public domain · Wikimedia Commons)",N
history-ocr,usa-people-state-1919-1948,4,136bdb95-e205-4127-91f3-83453f7b4e95,"Jim Crow, the Klan and racial violence",https://upload.wikimedia.org/wikipedia/commons/a/ac/Ku_Klux_Klan_Virginia_1922_Parade.jpg,generated,,generated,,generated (original),"Two contrasting water fountains are shown, one clean and one rusty",StudyVault illustration,"Two contrasting water fountains are shown, one clean and one rusty (StudyVault illustration)",N
history-ocr,usa-people-state-1919-1948,5,5670b0bd-f9c0-428d-ad47-009e10b7808a,"Immigration, the Red Scare and nativism",https://upload.wikimedia.org/wikipedia/commons/1/14/Carte_postale_Sacco_et_Vanzetti.jpg,wikimedia,CC BY-SA 4.0,SHARE-ALIKE,Secours rouge international (SRI),line-and-wash,"Portraits of Nicola Sacco and Bartolomeo Vanzetti, with handcuffed hands behind bars",Illustration after a photo by Secours rouge international (SRI) · CC BY-SA 4.0 · Wikimedia Commons,"Portraits of Nicola Sacco and Bartolomeo Vanzetti, with handcuffed hands behind bars (Illustration after a photo by Secours rouge international (SRI) · CC BY-SA 4.0 · Wikimedia Commons)",N
history-ocr,usa-people-state-1919-1948,6,6fe56b61-4e9f-4f0b-a75f-f759e03d5a35,The Great Depression and Hoover's response,https://upload.wikimedia.org/wikipedia/commons/6/6c/Unemployed_men_queued_outside_a_depression_soup_kitchen_opened_in_Chicago_by_Al_Capone%2C_02-1931_-_NARA_-_541927.jpg,wikimedia,Public domain,FREE,Unknown author,line-and-wash,"A long line of men waits outside a building with a visible ""FREE"" sign",Illustration after a photo by Unknown author · public domain · Wikimedia Commons,"A long line of men waits outside a building with a visible ""FREE"" sign (Illustration after a photo by Unknown author · public domain · Wikimedia Commons)",N
history-ocr,usa-people-state-1919-1948,7,271393cc-416c-4bf4-9f6f-cbb66882e865,The First and Second New Deals,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/america/lesson-07-hero.jpg,r2,,,,line-and-wash,Four men are laying paving stones on the ground,Illustration after a photo via Unsplash,Four men are laying paving stones on the ground (Illustration after a photo via Unsplash),N
history-ocr,usa-people-state-1919-1948,8,40b33998-c094-4fba-8502-bba058c31cbd,Reactions to the New Deal,https://upload.wikimedia.org/wikipedia/commons/f/f3/New_Deal_collage.jpg,generated,,generated,,generated (original),A long line of men queues outside a grand building with columns and a dome,StudyVault illustration,A long line of men queues outside a grand building with columns and a dome (StudyVault illustration),N
history-ocr,usa-people-state-1919-1948,9,82724bd2-33de-44ac-b92e-77cc7b0c841b,The Second World War and civil rights,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/america/lesson-08-hero.jpg,r2,,,,line-and-wash,Two factory workers assemble metal parts using machinery,Illustration after a photo via Unsplash,Two factory workers assemble metal parts using machinery (Illustration after a photo via Unsplash),N
